,City Name,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hofn,64.25,-15.21,54.32,85,100,13.65,IS,1593296014
1,Rikitea,-23.12,-134.97,70.54,75,0,17.16,PF,1593295847
2,Busselton,-33.65,115.33,60.01,75,100,22.15,AU,1593295847
3,Huilong,31.81,121.66,78.01,99,100,1.99,CN,1593296078
4,Idrinskoye,54.37,92.14,58.6,86,3,2.53,RU,1593296078
5,San Jose,37.34,-121.89,90.0,51,20,13.87,US,1593295801
6,Ushuaia,-54.8,-68.3,37.4,64,40,19.46,AR,1593295817
7,Jamestown,42.1,-79.24,73.99,78,90,8.05,US,1593296030
8,Margate,51.38,1.39,62.01,80,99,8.01,GB,1593296079
9,Paralímni,35.04,33.98,77.0,94,20,5.82,CY,1593296079
10,Gibara,21.11,-76.13,86.0,70,40,17.22,CU,1593296079
11,Bluff,-46.6,168.33,49.12,91,100,6.31,NZ,1593296079
12,Ilulissat,69.22,-51.1,39.2,80,75,4.7,GL,1593296079
13,Ondjiva,-17.07,15.73,56.16,36,0,5.37,AO,1593296079
14,Aklavik,68.22,-135.01,51.8,46,75,11.41,CA,1593296017
15,Chanika,-5.42,38.02,62.37,99,21,1.97,TZ,1593296079
16,Nishihara,26.18,127.76,82.4,88,75,10.29,JP,1593296030
17,Manuk Mangkaw,4.8,119.85,78.46,82,100,9.15,PH,1593296079
18,Wuxi,31.57,120.29,81.0,85,100,13.51,CN,1593295804
19,Deshnok,27.8,73.34,92.14,47,0,21.41,IN,1593296079
20,Bethel,41.37,-73.41,73.99,95,100,10.51,US,1593296004
21,Tefé,-3.35,-64.71,87.8,74,20,5.82,BR,1593296080
22,Hilo,19.73,-155.09,82.4,61,20,6.93,US,1593296080
23,Lompoc,34.64,-120.46,70.0,68,10,14.99,US,1593296080
24,Nikolskoye,59.7,30.79,66.99,63,34,2.24,RU,1593296080
25,Fort-Shevchenko,44.51,50.26,70.45,53,0,5.48,KZ,1593296080
26,Dikson,73.51,80.55,45.34,82,0,8.97,RU,1593295999
27,Eniwa,42.88,141.54,64.0,100,75,8.05,JP,1593296080
28,New Norfolk,-42.78,147.06,39.0,93,21,2.84,AU,1593296007
29,Caxito,-8.58,13.66,71.6,83,75,3.36,AO,1593296080
30,Saskylakh,71.92,114.08,52.59,62,24,3.06,RU,1593295884
31,Tiksi,71.69,128.87,49.46,78,69,10.63,RU,1593296080
32,Te Anau,-45.42,167.72,43.14,85,90,3.31,NZ,1593296081
33,Ulkan,57.24,107.32,65.32,67,3,3.78,RU,1593296081
34,Udachny,66.42,112.4,64.4,63,77,2.24,RU,1593295825
35,Forsytheganj,52.63,29.73,66.96,82,100,7.96,BY,1593296020
36,Rock Springs,41.59,-109.2,84.2,16,20,21.92,US,1593296081
37,Saint Paul Harbor,57.79,-152.41,53.6,66,1,5.82,US,1593296003
38,Avarua,-21.21,-159.78,75.2,60,26,16.11,CK,1593296081
39,Neuquén,-38.95,-68.06,35.6,100,75,10.96,AR,1593296081
40,Leningradskiy,69.38,178.42,32.34,97,100,15.64,RU,1593296081
41,Palmer,42.16,-72.33,68.0,88,90,3.76,US,1593295857
42,Hermanus,-34.42,19.23,55.0,80,47,4.0,ZA,1593296082
43,Dicabisagan,17.08,122.42,79.92,74,100,1.95,PH,1593296082
44,Albany,42.6,-73.97,69.01,85,100,2.15,US,1593296082
45,Shiyan,32.65,110.78,71.69,90,100,2.46,CN,1593296082
46,Naze,28.37,129.48,80.6,94,75,19.46,JP,1593296082
47,Tasiilaq,65.61,-37.64,44.6,87,100,5.82,GL,1593296082
48,Saint George,37.1,-113.58,102.99,7,1,14.99,US,1593296012
49,Longyearbyen,78.22,15.64,46.4,65,40,4.7,SJ,1593296082
50,Port Alfred,-33.59,26.89,60.87,71,81,27.67,ZA,1593295843
51,Hong Kong,22.29,114.16,82.0,83,97,8.99,HK,1593296082
52,Butaritari,3.07,172.79,82.83,75,46,17.47,KI,1593296083
53,Rahā,26.23,92.52,75.09,95,96,3.42,IN,1593296083
54,Meulaboh,4.14,96.13,75.78,87,51,3.56,ID,1593296083
55,Mahébourg,-20.41,57.7,71.6,83,40,6.93,MU,1593296083
56,Chokurdakh,70.63,147.92,57.38,37,100,13.2,RU,1593296083
57,Puerto Ayora,-0.74,-90.35,80.6,57,58,17.22,EC,1593295846
58,Katsuura,35.13,140.3,73.0,93,100,1.01,JP,1593296083
59,Tual,-5.67,132.75,80.37,82,95,23.44,ID,1593295859
60,Omsukchan,62.53,155.8,65.34,37,2,12.37,RU,1593296083
61,Thompson,55.74,-97.86,69.8,68,90,2.24,CA,1593296007
62,Hamilton,39.18,-84.53,79.0,74,20,8.05,US,1593296062
63,Hobart,-42.88,147.33,39.0,93,20,8.05,AU,1593296027
64,Atuona,-9.8,-139.03,79.93,75,10,9.71,PF,1593295850
65,Juegang,32.32,121.19,77.0,95,100,1.01,CN,1593296084
66,Barrow,71.29,-156.79,62.6,45,20,16.11,US,1593295801
67,Carnarvon,-24.87,113.63,62.6,100,90,6.93,AU,1593296084
68,Mataura,-46.19,168.86,43.02,92,100,2.3,NZ,1593295847
69,Punta Arenas,-53.15,-70.92,37.4,59,0,6.93,CL,1593296084
70,Kapaa,22.08,-159.32,81.0,74,90,14.99,US,1593295873
71,Ilula,-7.68,36.04,59.0,72,5,5.01,TZ,1593296084
72,Port Hardy,50.7,-127.42,60.8,67,40,17.22,CA,1593296084
73,Mar del Plata,-38.0,-57.56,44.01,93,90,4.7,AR,1593295865
74,Souillac,-20.52,57.52,69.8,88,20,8.05,MU,1593295867
75,Salinópolis,-0.61,-47.36,79.3,85,19,9.69,BR,1593296084
76,Samarai,-10.62,150.67,78.78,83,100,17.07,PG,1593296085
77,Severo-Kuril'sk,50.68,156.12,53.22,56,97,9.33,RU,1593295890
